Y,U,I,H,G
0.0,0.0,105,10084,10084:105
-4.0,0.0,2,10108,10108:2
2.0,0.0,55,20002,20002:55
-1.0,0.0,137,10030,10030:137
2.0,0.0,113,10113,10113:113
-8.0,0.0,55,20029,20029:55
9.0,0.0,83,10014,10014:83
6.0,0.0,67,10040,10040:67
2.0,0.0,41,10045,10045:41
4.0,0.0,67,10077,10077:67
-3.0,0.0,71,10065,10065:71
0.0,0.0,129,10091,10091:129
1.0,0.0,55,10100,10100:55
-2.0,0.0,135,20081,20081:135
-4.0,0.0,41,10102,10102:41
2.0,0.0,2,20080,20080:2
-1.0,0.0,45,10005,10005:45
1.0,0.0,121,10026,10026:121
3.0,0.0,115,10113,10113:115
-2.0,0.0,33,10001,10001:33
-2.0,0.0,74,10065,10065:74
-2.0,0.0,63,20054,20054:63
3.0,0.0,45,10045,10045:45
0.0,0.0,53,10047,10047:53
-1.0,0.0,63,10051,10051:63
-2.0,0.0,21,10046,10046:21
2.0,0.0,129,10024,10024:129
-2.0,0.0,131,10091,10091:131
-1.0,0.0,71,10067,10067:71
3.0,0.0,14,20077,20077:14
0.0,0.0,113,20011,20011:113
0.0,0.0,95,20016,20016:95
-2.0,0.0,67,10120,10120:67
-4.0,0.0,37,20066,20066:37
1.0,0.0,113,10084,10084:113
-4.0,0.0,77,10065,10065:77
-1.0,0.0,53,10045,10045:53
5.0,0.0,129,20042,20042:129
1.0,0.0,37,10066,10066:37
2.0,0.0,131,10024,10024:131
-7.0,0.0,115,20011,20011:115
-4.0,0.0,95,20022,20022:95
1.0,0.0,2,10032,10032:2
-4.0,0.0,69,10120,10120:69
0.0,0.0,115,10084,10084:115
-10.0,0.0,63,20029,20029:63
-15.0,0.0,95,20084,20084:95
-4.0,0.0,81,10065,10065:81
-1.0,0.0,37,10001,10001:37
-1.0,0.0,121,10060,10060:121
11.0,0.0,131,20042,20042:131
0.0,0.0,55,10045,10045:55
0.0,0.0,33,20087,20087:33
-1.0,0.0,63,10075,10075:63
1.0,0.0,129,10027,10027:129
-2.0,0.0,41,10012,10012:41
-6.0,0.0,135,10091,10091:135
2.0,0.0,21,20077,20077:21
-1.0,0.0,121,10113,10113:121
0.0,0.0,101,20016,20016:101
15.0,0.0,71,10120,10120:71
0.0,0.0,37,10104,10104:37
-4.0,0.0,27,10096,10096:27
0.0,0.0,105,20016,20016:105
-4.0,0.0,95,10055,10055:95
-5.0,0.0,135,10024,10024:135
2.0,0.0,23,20077,20077:23
1.0,0.0,137,10018,10018:137
-1.0,0.0,137,10091,10091:137
0.0,0.0,55,10008,10008:55
1.0,0.0,63,10100,10100:63
-2.0,0.0,27,10029,10029:27
-2.0,0.0,101,10014,10014:101
0.0,0.0,101,20022,20022:101
-2.0,0.0,99,10058,10058:99
1.0,0.0,10,20080,20080:10
-2.0,0.0,139,10091,10091:139
-1.0,0.0,41,10001,10001:41
0.0,0.0,81,10067,10067:81
0.0,0.0,137,20042,20042:137
0.0,0.0,105,20022,20022:105
0.0,0.0,77,10051,10051:77
-1.0,0.0,137,10024,10024:137
13.0,0.0,77,10120,10120:77
-2.0,0.0,45,10012,10012:45
0.0,0.0,74,20026,20026:74
0.0,0.0,139,20042,20042:139
2.0,0.0,129,10060,10060:129
-1.0,0.0,139,10024,10024:139
1.0,0.0,74,20054,20054:74
0.0,0.0,45,20066,20066:45
6.0,0.0,27,20077,20077:27
-2.0,0.0,63,10045,10045:63
-2.0,0.0,33,10096,10096:33
-3.0,0.0,83,10067,10067:83
0.0,0.0,113,20084,20084:113
-2.0,0.0,101,10055,10055:101
1.0,0.0,33,20069,20069:33
0.0,0.0,105,20019,20019:105
2.0,0.0,131,10060,10060:131
-2.0,0.0,109,10014,10014:109
0.0,0.0,109,20022,20022:109
0.0,0.0,129,10084,10084:129
4.0,0.0,69,10003,10003:69
-1.0,0.0,45,10001,10001:45
0.0,0.0,2,10041,10041:2
-4.0,0.0,33,10029,10029:33
-1.0,0.0,139,10042,10042:139
1.0,0.0,129,10113,10113:129
0.0,0.0,2,10094,10094:2
3.0,0.0,115,20084,20084:115
-1.0,0.0,71,10075,10075:71
-4.0,0.0,95,10065,10065:95
-7.0,0.0,69,10008,10008:69
0.0,0.0,113,20016,20016:113
1.0,0.0,71,10038,10038:71
0.0,0.0,81,20054,20054:81
4.0,0.0,109,10058,10058:109
1.0,0.0,21,10032,10032:21
1.0,0.0,74,10003,10003:74
0.0,0.0,2,20044,20044:2
-2.0,0.0,77,10075,10075:77
0.0,0.0,67,10045,10045:67
2.0,0.0,37,10096,10096:37
0.0,0.0,131,10113,10113:131
-2.0,0.0,121,10020,10020:121
2.0,0.0,74,10038,10038:74
0.0,0.0,10,20082,20082:10
15.0,0.0,71,10008,10008:71
4.0,0.0,33,20077,20077:33
-10.0,0.0,113,20029,20029:113
-9.0,0.0,23,10032,10032:23
11.0,0.0,83,20054,20054:83
-5.0,0.0,21,10108,10108:21
-9.0,0.0,129,20011,20011:129
0.0,0.0,27,20089,20089:27
0.0,0.0,69,10045,10045:69
0.0,0.0,77,10038,10038:77
-1.0,0.0,53,10001,10001:53
-2.0,0.0,74,10010,10010:74
2.0,0.0,109,20024,20024:109
-4.0,0.0,101,10065,10065:101
-5.0,0.0,23,10108,10108:23
0.0,0.0,21,20080,20080:21
4.0,0.0,135,10084,10084:135
0.0,0.0,131,20011,20011:131
7.0,0.0,81,10003,10003:81
2.0,0.0,83,20002,20002:83
-6.0,0.0,121,20084,20084:121
0.0,0.0,113,20019,20019:113
0.0,0.0,10,10082,10082:10
-1.0,0.0,81,10075,10075:81
0.0,0.0,71,10045,10045:71
0.0,0.0,105,10065,10065:105
1.0,0.0,135,10113,10113:135
1.0,0.0,81,10038,10038:81
0.0,0.0,55,10001,10001:55
0.0,0.0,137,20048,20048:137
0.0,0.0,113,10053,10053:113
0.0,0.0,63,20066,20066:63
2.0,0.0,37,20077,20077:37
2.0,0.0,101,10117,10117:101
3.0,0.0,137,10084,10084:137
0.0,0.0,77,10047,10047:77
9.0,0.0,74,10045,10045:74
-5.0,0.0,135,20011,20011:135
-1.0,0.0,83,10003,10003:83
-8.0,0.0,115,20019,20019:115
3.0,0.0,131,10086,10086:131
0.0,0.0,81,20039,20039:81
1.0,0.0,137,10113,10113:137
1.0,0.0,83,10008,10008:83
0.0,0.0,41,10029,10029:41
1.0,0.0,83,10038,10038:83
2.0,0.0,113,20024,20024:113
1.0,0.0,10,10094,10094:10
-2.0,0.0,23,20063,20063:23
-2.0,0.0,115,10053,10053:115
-2.0,0.0,27,20080,20080:27
-4.0,0.0,121,10014,10014:121
-3.0,0.0,109,10065,10065:109
9.0,0.0,77,10045,10045:77
1.0,0.0,139,10113,10113:139
0.0,0.0,137,20011,20011:137
15.0,0.0,14,10027,10027:14
2.0,0.0,33,10032,10032:33
-1.0,0.0,95,10120,10120:95
2.0,0.0,105,10125,10125:105
0.0,0.0,83,20039,20039:83
4.0,0.0,10,20044,20044:10
-2.0,0.0,85,10100,10100:85
-4.0,0.0,45,10096,10096:45
1.0,0.0,10,10025,10025:10
0.0,0.0,139,20011,20011:139
-7.0,0.0,131,20029,20029:131
1.0,0.0,85,10038,10038:85
-1.0,0.0,115,20024,20024:115
-1.0,0.0,67,20066,20066:67
4.0,0.0,41,20077,20077:41
0.0,0.0,81,10045,10045:81
0.0,0.0,81,10047,10047:81
4.0,0.0,135,10086,10086:135
0.0,0.0,14,20044,20044:14
-4.0,0.0,113,10065,10065:113
0.0,0.0,83,20032,20032:83
-8.0,0.0,129,20084,20084:129
-2.0,0.0,99,10067,10067:99
0.0,0.0,69,20066,20066:69
3.0,0.0,45,20077,20077:45
13.0,0.0,83,10045,10045:83
0.0,0.0,83,10047,10047:83
-5.0,0.0,33,10108,10108:33
1.0,0.0,37,10032,10032:37
1.0,0.0,2,10015,10015:2
6.0,0.0,99,10120,10120:99
1.0,0.0,137,10086,10086:137
-5.0,0.0,2,10114,10114:2
0.0,0.0,33,20080,20080:33
-1.0,0.0,63,10001,10001:63
-9.0,0.0,99,10008,10008:99
-15.0,0.0,137,20029,20029:137
0.0,0.0,95,10003,10003:95
0.0,0.0,53,10096,10096:53
7.0,0.0,85,10010,10010:85
1.0,0.0,115,10065,10065:115
0.0,0.0,37,10027,10027:37
-2.0,0.0,10,10061,10061:10
0.0,0.0,2,20012,20012:2
0.0,0.0,101,10067,10067:101
0.0,0.0,71,20066,20066:71
-2.0,0.0,37,10064,10064:37
-15.0,0.0,139,20029,20029:139
2.0,0.0,101,10120,10120:101
-4.0,0.0,131,10108,10108:131
1.0,0.0,109,10051,10051:109
0.0,0.0,131,20022,20022:131
-4.0,0.0,99,20054,20054:99
-1.0,0.0,55,10096,10096:55
0.0,0.0,63,20087,20087:63
-1.0,0.0,105,10120,10120:105
3.0,0.0,135,10115,10115:135
-2.0,0.0,135,10055,10055:135
-5.0,0.0,33,20063,20063:33
-3.0,0.0,139,20012,20012:139
-2.0,0.0,81,10102,10102:81
3.0,0.0,53,20077,20077:53
1.0,0.0,41,10032,10032:41
0.0,0.0,21,20044,20044:21
-1.0,0.0,55,10009,10009:55
3.0,0.0,21,10112,10112:21
2.0,0.0,21,10041,10041:21
0.0,0.0,77,20066,20066:77
0.0,0.0,67,10001,10001:67
3.0,0.0,21,10094,10094:21
2.0,0.0,101,20054,20054:101
9.0,0.0,101,10003,10003:101
0.0,0.0,21,20049,20049:21
-5.0,0.0,121,10065,10065:121
-12.0,0.0,95,10100,10100:95
1.0,0.0,33,10082,10082:33
0.0,0.0,113,10008,10008:113
-6.0,0.0,99,10045,10045:99
0.0,0.0,95,10038,10038:95
0.0,0.0,23,20044,20044:23
-10.0,0.0,83,10102,10102:83
2.0,0.0,23,10041,10041:23
0.0,0.0,113,10051,10051:113
7.0,0.0,139,10115,10115:139
6.0,0.0,23,10094,10094:23
2.0,0.0,21,10025,10025:21
-3.0,0.0,77,10012,10012:77
0.0,0.0,67,10104,10104:67
-1.0,0.0,69,10001,10001:69
0.0,0.0,135,20022,20022:135
-15.0,0.0,137,20084,20084:137
1.0,0.0,101,10047,10047:101
1.0,0.0,45,10027,10027:45
13.0,0.0,115,10008,10008:115
1.0,0.0,101,10045,10045:101
0.0,0.0,99,10038,10038:99
5.0,0.0,45,10032,10032:45
2.0,0.0,23,10025,10025:23
-1.0,0.0,115,10051,10051:115
-2.0,0.0,10,10114,10114:10
-2.0,0.0,131,20019,20019:131
0.0,0.0,67,20074,20074:67
7.0,0.0,105,10075,10075:105
0.0,0.0,81,20066,20066:81
0.0,0.0,71,10001,10001:71
5.0,0.0,105,10045,10045:105
0.0,0.0,27,20044,20044:27
1.0,0.0,109,20054,20054:109
-4.0,0.0,109,10003,10003:109
-4.0,0.0,113,10067,10067:113
1.0,0.0,53,10027,10027:53
-1.0,0.0,101,10100,10100:101
13.0,0.0,10,20012,20012:10
-10.0,0.0,27,10094,10094:27
2.0,0.0,63,20077,20077:63
0.0,0.0,139,20022,20022:139
0.0,0.0,113,20002,20002:113
-4.0,0.0,113,10120,10120:113
-1.0,0.0,74,10001,10001:74
0.0,0.0,109,20026,20026:109
0.0,0.0,121,10049,10049:121
0.0,0.0,105,10100,10100:105
8.0,0.0,109,10045,10045:109
0.0,0.0,105,10038,10038:105
2.0,0.0,2,10116,10116:2
0.0,0.0,27,10025,10025:27
0.0,0.0,2,20085,20085:2
1.0,0.0,55,10027,10027:55
0.0,0.0,33,10094,10094:33
0.0,0.0,77,10001,10001:77
-2.0,0.0,115,10120,10120:115
-3.0,0.0,45,10108,10108:45
-10.0,0.0,83,20036,20036:83
3.0,0.0,95,20023,20023:95
-3.0,0.0,14,10114,10114:14
-2.0,0.0,131,10065,10065:131
0.0,0.0,121,10008,10008:121
-4.0,0.0,121,10051,10051:121
13.0,0.0,14,20012,20012:14
1.0,0.0,67,20077,20077:67
-2.0,0.0,77,10104,10104:77
0.0,0.0,33,20044,20044:33
0.0,0.0,77,20087,20087:77
-11.0,0.0,83,10066,10066:83
7.0,0.0,113,10045,10045:113
4.0,0.0,21,10085,10085:21
6.0,0.0,115,20054,20054:115
-2.0,0.0,67,10096,10096:67
-2.0,0.0,10,10059,10059:10
-4.0,0.0,55,10108,10108:55
-2.0,0.0,113,10075,10075:113
-3.0,0.0,41,10094,10094:41
0.0,0.0,95,20066,20066:95
3.0,0.0,69,20077,20077:69
0.0,0.0,81,10001,10001:81
1.0,0.0,33,10025,10025:33
-1.0,0.0,135,10065,10065:135
-2.0,0.0,69,10096,10096:69
1.0,0.0,14,10059,10059:14
3.0,0.0,121,10120,10120:121
0.0,0.0,113,10100,10100:113
4.0,0.0,10,20085,20085:10
0.0,0.0,113,10038,10038:113
3.0,0.0,74,20077,20077:74
-3.0,0.0,81,10104,10104:81
-2.0,0.0,63,10034,10034:63
1.0,0.0,21,10114,10114:21
0.0,0.0,37,20044,20044:37
0.0,0.0,81,20087,20087:81
-3.0,0.0,137,10065,10065:137
0.0,0.0,27,10015,10015:27
-2.0,0.0,21,20047,20047:21
0.0,0.0,71,10096,10096:71
-1.0,0.0,105,10102,10102:105
1.0,0.0,71,10027,10027:71
0.0,0.0,115,10100,10100:115
11.0,0.0,21,20012,20012:21
10.0,0.0,77,20077,20077:77
3.0,0.0,45,10094,10094:45
0.0,0.0,101,20066,20066:101
0.0,0.0,23,10114,10114:23
2.0,0.0,121,20054,20054:121
0.0,0.0,83,10104,10104:83
-11.0,0.0,129,10008,10008:129
-1.0,0.0,74,10096,10096:74
-2.0,0.0,109,10010,10010:109
0.0,0.0,74,10027,10027:74
0.0,0.0,10,20023,20023:10
0.0,0.0,37,10025,10025:37
0.0,0.0,129,10051,10051:129
11.0,0.0,23,20012,20012:23
0.0,0.0,2,20025,20025:2
1.0,0.0,121,10047,10047:121
-1.0,0.0,41,10061,10061:41
11.0,0.0,121,10045,10045:121
0.0,0.0,131,10008,10008:131
-2.0,0.0,67,10034,10034:67
1.0,0.0,63,10032,10032:63
0.0,0.0,41,20044,20044:41
-1.0,0.0,109,20036,20036:109
-2.0,0.0,121,10075,10075:121
-1.0,0.0,77,10046,10046:77
1.0,0.0,2,10066,10066:2
-5.0,0.0,53,10094,10094:53
0.0,0.0,21,10059,10059:21
-1.0,0.0,27,10114,10114:27
0.0,0.0,23,20032,20032:23
2.0,0.0,135,20002,20002:135
-5.0,0.0,121,10100,10100:121
2.0,0.0,81,20077,20077:81
-1.0,0.0,129,10067,10067:129
-2.0,0.0,113,10010,10010:113
-2.0,0.0,27,20012,20012:27
-4.0,0.0,137,10025,10025:137
-2.0,0.0,69,10034,10034:69
7.0,0.0,129,10120,10120:129
6.0,0.0,41,10025,10025:41
4.0,0.0,33,10085,10085:33
4.0,0.0,55,10094,10094:55
0.0,0.0,63,20080,20080:63
0.0,0.0,95,10001,10001:95
0.0,0.0,137,10125,10125:137
2.0,0.0,137,20002,20002:137
9.0,0.0,137,10045,10045:137
-1.0,0.0,131,10003,10003:131
0.0,0.0,83,20077,20077:83
-1.0,0.0,63,10082,10082:63
-2.0,0.0,115,10010,10010:115
1.0,0.0,137,10008,10008:137
0.0,0.0,139,20002,20002:139
9.0,0.0,139,10045,10045:139
0.0,0.0,67,10032,10032:67
0.0,0.0,45,20044,20044:45
5.0,0.0,131,10120,10120:131
-11.0,0.0,53,20017,20017:53
1.0,0.0,74,10099,10099:74
-9.0,0.0,85,20069,20069:85
3.0,0.0,129,20054,20054:129
0.0,0.0,37,10021,10021:37
-3.0,0.0,74,10034,10034:74
1.0,0.0,27,10059,10059:27
-1.0,0.0,69,10032,10032:69
1.0,0.0,137,10051,10051:137
-4.0,0.0,131,10100,10100:131
7.0,0.0,45,10025,10025:45
-1.0,0.0,55,20017,20017:55
0.0,0.0,67,20080,20080:67
-2.0,0.0,99,10001,10001:99
-9.0,0.0,10,20025,20025:10
-8.0,0.0,69,10108,10108:69
11.0,0.0,121,20009,20009:121
-2.0,0.0,37,20085,20085:37
13.0,0.0,33,20012,20012:33
-2.0,0.0,77,10034,10034:77
-1.0,0.0,129,10075,10075:129
2.0,0.0,53,10041,10041:53
-1.0,0.0,41,10015,10015:41
-2.0,0.0,37,10114,10114:37
-2.0,0.0,83,10029,10029:83
0.0,0.0,71,10032,10032:71
11.0,0.0,63,10094,10094:63
0.0,0.0,137,10100,10100:137
2.0,0.0,10,10066,10066:10
-1.0,0.0,2,10046,10046:2
1.0,0.0,71,20080,20080:71
0.0,0.0,101,10001,10001:101
-2.0,0.0,121,10010,10010:121
-2.0,0.0,137,10003,10003:137
0.0,0.0,33,20032,20032:33
4.0,0.0,77,10061,10061:77
0.0,0.0,74,10032,10032:74
7.0,0.0,53,10025,10025:53
0.0,0.0,139,10100,10100:139
5.0,0.0,55,10041,10041:55
4.0,0.0,23,20023,20023:23
1.0,0.0,129,10038,10038:129
-1.0,0.0,105,10001,10001:105
-2.0,0.0,74,10108,10108:74
0.0,0.0,74,20080,20080:74
0.0,0.0,27,10116,10116:27
1.0,0.0,2,10052,10052:2
0.0,0.0,33,10059,10059:33
3.0,0.0,14,20057,20057:14
0.0,0.0,27,20023,20023:27
-9.0,0.0,14,20025,20025:14
2.0,0.0,41,20085,20085:41
13.0,0.0,37,20012,20012:37
0.0,0.0,77,10032,10032:77
5.0,0.0,55,10025,10025:55
1.0,0.0,131,10038,10038:131
1.0,0.0,45,10015,10015:45
-3.0,0.0,77,10108,10108:77
-2.0,0.0,41,10114,10114:41
-1.0,0.0,135,10085,10085:135
0.0,0.0,135,20026,20026:135
-14.0,0.0,71,10094,10094:71
0.0,0.0,109,10001,10001:109
-3.0,0.0,45,20085,20085:45
6.0,0.0,81,10061,10061:81
2.0,0.0,135,10075,10075:135
2.0,0.0,74,10094,10094:74
2.0,0.0,63,10110,10110:63
-2.0,0.0,2,10122,10122:2
2.0,0.0,105,10027,10027:105
0.0,0.0,21,10066,10066:21
0.0,0.0,101,20074,20074:101
0.0,0.0,37,10059,10059:37
-3.0,0.0,95,10096,10096:95
2.0,0.0,74,10043,10043:74
0.0,0.0,53,10015,10015:53
3.0,0.0,2,10071,10071:2
0.0,0.0,101,20087,20087:101
1.0,0.0,81,10032,10032:81
0.0,0.0,137,10075,10075:137
4.0,0.0,77,10094,10094:77
1.0,0.0,33,10116,10116:33
-1.0,0.0,81,20080,20080:81
3.0,0.0,23,10066,10066:23
1.0,0.0,45,10114,10114:45
-4.0,0.0,129,10010,10010:129
-4.0,0.0,55,20085,20085:55
-4.0,0.0,37,20003,20003:37
-12.0,0.0,83,20017,20017:83
0.0,0.0,113,10001,10001:113
-1.0,0.0,10,10046,10046:10
0.0,0.0,2,20055,20055:2
-1.0,0.0,55,10015,10015:55
-7.0,0.0,10,10050,10050:10
2.0,0.0,41,20032,20032:41
5.0,0.0,63,10025,10025:63
-2.0,0.0,63,10019,10019:63
-2.0,0.0,105,10089,10089:105
1.0,0.0,137,10038,10038:137
0.0,0.0,139,20066,20066:139
0.0,0.0,33,10054,10054:33
0.0,0.0,113,10027,10027:113
-4.0,0.0,83,10108,10108:83
0.0,0.0,81,20063,20063:81
8.0,0.0,95,20012,20012:95
1.0,0.0,71,20085,20085:71
-10.0,0.0,99,20077,20077:99
0.0,0.0,77,20044,20044:77
9.0,0.0,95,20017,20017:95
2.0,0.0,10,10052,10052:10
-1.0,0.0,115,10001,10001:115
0.0,0.0,99,10096,10096:99
7.0,0.0,27,10066,10066:27
-3.0,0.0,129,10005,10005:129
0.0,0.0,53,10114,10114:53
2.0,0.0,95,10032,10032:95
9.0,0.0,67,10041,10041:67
4.0,0.0,81,10094,10094:81
-4.0,0.0,81,20085,20085:81
3.0,0.0,55,10085,10085:55
1.0,0.0,115,10027,10027:115
0.0,0.0,83,20063,20063:83
-4.0,0.0,131,20036,20036:131
1.0,0.0,83,10021,10021:83
0.0,0.0,101,20077,20077:101
0.0,0.0,81,20044,20044:81
-1.0,0.0,45,10059,10059:45
-2.0,0.0,14,10046,10046:14
-3.0,0.0,101,10096,10096:101
0.0,0.0,2,10076,10076:2
0.0,0.0,53,20047,20047:53
-2.0,0.0,55,10114,10114:55
9.0,0.0,67,10025,10025:67
4.0,0.0,63,20003,20003:63
2.0,0.0,33,10078,10078:33
3.0,0.0,83,10094,10094:83
0.0,0.0,105,20077,20077:105
-1.0,0.0,2,10037,10037:2
-3.0,0.0,135,10010,10010:135
-1.0,0.0,99,20012,20012:99
2.0,0.0,10,10122,10122:10
0.0,0.0,2,20067,20067:2
-2.0,0.0,21,10119,10119:21
13.0,0.0,101,20017,20017:101
-1.0,0.0,14,10052,10052:14
0.0,0.0,113,20087,20087:113
-2.0,0.0,14,10071,10071:14
0.0,0.0,99,10032,10032:99
9.0,0.0,69,10025,10025:69
0.0,0.0,41,10116,10116:41
1.0,0.0,121,10001,10001:121
-3.0,0.0,137,10010,10010:137
2.0,0.0,53,10059,10059:53
-1.0,0.0,105,10029,10029:105
-1.0,0.0,101,20012,20012:101
-4.0,0.0,135,20036,20036:135
3.0,0.0,33,10066,10066:33
-2.0,0.0,129,10012,10012:129
-1.0,0.0,63,10015,10015:63
-1.0,0.0,14,10004,10004:14
0.0,0.0,55,10087,10087:55
-3.0,0.0,139,10010,10010:139
0.0,0.0,10,20055,20055:10
0.0,0.0,121,10027,10027:121
-9.0,0.0,113,20085,20085:113
-1.0,0.0,105,20012,20012:105
5.0,0.0,71,10025,10025:71
0.0,0.0,77,20003,20003:77
1.0,0.0,37,10078,10078:37
2.0,0.0,10,10048,10048:10
2.0,0.0,55,10059,10059:55
1.0,0.0,2,20037,20037:2
-1.0,0.0,115,10089,10089:115
1.0,0.0,33,20057,20057:33
2.0,0.0,74,10025,10025:74
-4.0,0.0,95,10108,10108:95
4.0,0.0,63,10085,10085:63
0.0,0.0,95,20044,20044:95
9.0,0.0,95,10094,10094:95
0.0,0.0,55,20032,20032:55
-1.0,0.0,45,10116,10116:45
9.0,0.0,105,10061,10061:105
12.0,0.0,23,10046,10046:23
